year,AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,Haddock,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal,WhitePerch,AtlanticTomcod
2000,2222.27916,10280.3234,275.279629,4706.5155,46627.8102,768.544387,1383.18767,0.38535437,3556.06455,24545.9171,11810.8317,35402.0232,6268.44763,13275.11,12585.4674,1348.84597,0.868,0.336
2001,7466.50425,17690.243,736.34225,4034.22165,72848.3786,19.8056692,1742.81756,NA,2018.91287,18317.066,12762.3838,27652.2192,12652.2287,6940.64395,26200.076,4154.19409,0.762,0.85
2002,7007.63267,22597.8085,2245.40632,36984.1192,218173.643,2451.19597,2239.44142,NA,6793.01105,33097.9824,13493.7284,30367.5607,6569.77258,10393.3882,24804.9053,1620.38339,0.522,0.112
2003,6984.06021,20917.6007,3539.36481,1202.98507,121845.735,804.966921,4155.98978,3959.22677,1813.30326,12948.3609,13682.7128,59595.1121,8332.19573,3345.87649,20014.4354,1193.54076,1.494,0.384
2004,5795.49131,17671.4254,1443.7281,9266.66534,123752.922,72.1233571,1830.59513,36.499913,1994.91951,11914.0569,13438.1457,34930.6191,7015.46378,8982.03952,13708.1039,2695.00411,0.92,1.198
2005,6405.77302,9285.83249,1685.92141,1242.65049,41010.0344,231.629464,1690.19647,10749.2147,2245.79115,16101.2218,10655.0977,27925.6135,6306.74283,15408.6662,9102.94779,1987.5544,1.409,0.958
2006,15113.2518,33917.2529,458.493086,8159.05634,345621.088,350.041268,1974.99584,5.20978972,1703.02471,39704.5541,12223.1636,28566.2103,7285.67719,14410.1635,15581.268,2083.63025,1.117,0.12
2007,4531.53161,7116.06439,559.149378,1957.09599,108576.256,210.727304,1895.32455,NA,1068.79732,18635.1324,10161.3863,19754.1794,4895.11796,6266.33881,3575.07632,2214.26641,0.782,0.082
2008,9604.89879,45491.0625,377.341254,4583.57218,242016.181,274.202332,1836.62417,14.2580806,1513.99872,14903.4713,12077.6967,37576.1931,8872.10523,25149.861,7997.68042,2553.62264,1.028,0.378
2009,9061.45602,47177.9315,889.994314,4589.31184,332081.627,NA,1063.72372,4.4994775,1344.76518,22456.9539,11914.9026,39518.7372,9590.72405,17895.8773,13467.1496,3591.88231,1.351,0.27
2010,4070.67725,3356.55435,851.256984,17671.5655,191600.086,4003.96356,1295.53209,678.219122,1430.32338,16324.3495,15924.0278,74736.5835,14453.5074,22945.6223,5672.40138,1742.96748,1.904,0.763
2011,6470.30887,16208.8743,452.755481,2841.40533,214563.252,23.4551457,1309.78482,288.558474,1079.70046,9710.705,13496.7434,39595.4062,11148.1312,18323.616,3380.51525,2927.32339,1.171,0.197
2012,2246.19714,5358.67562,964.744422,10200.5067,463557.137,1822.14661,1587.31414,13.1315514,3957.41365,32890.0065,19337.9067,43287.8419,17028.0392,9572.53657,8547.99849,1103.67157,0.985,0.056
2013,4687.27067,2802.84543,2063.07411,3907.76953,216929.039,458.396555,1012.36985,25355.4442,487.400365,31583.2694,10156.1247,30719.7707,5348.37748,10745.0107,4351.55816,1258.32238,0.709,0.101
2014,5907.39304,1971.14431,2542.05563,41279.5866,195792.586,76.3744079,988.929845,7380.80453,811.500763,30794.4762,11076.9774,45007.275,9905.92747,14660.3217,18171.8359,3454.94257,0.624,0.303
2015,1057.15606,490.609356,1571.39241,9227.21132,309416.858,12.1755764,1277.49205,5.08337229,595.146186,18138.559,9060.88196,32508.0106,4916.02967,16929.7499,7763.35605,1545.20295,0.488,0.64
2016,4605.67156,7337.09088,2789.83424,51998.8896,204741.076,622.866793,1175.96177,3107.87987,1242.55295,25425.2202,7271.2958,22469.0974,7133.25705,20012.0209,5770.65376,3467.44913,0.384,0.161
2017,1660.40984,6462.81286,1682.02422,7924.39902,145299.96,643.541808,401.541489,7.27969222,176.72677,2060.41455,2702.68442,22678.5234,1437.45827,2106.40087,8923.59463,1305.60717,0.643,0.032
2018,1486.45543,10503.2628,1683.03338,12414.1559,242876.029,1298.49775,1069.09942,366.805664,1200.6048,13924.7336,6453.34107,35003.6297,10893.6472,15299.7453,10877.488,1790.98395,0.625,0.004
2019,204.114179,12285.3123,2179.64304,9474.46257,287257.898,32.234893,1543.40301,245.947794,303.815539,18676.6702,7192.66566,48297.629,16691.2964,4968.92901,27473.6821,5860.0306,NA,NA
2020,14.8837705,631.958083,1364.16924,5499.8781,144049.707,96.6460287,154.328335,NA,105.759796,1558.54537,1549.74016,11395.7132,1517.34621,86.210716,6095.52336,300.557359,NA,NA
2021,74.9999113,37163.6558,2898.71012,12007.3201,428629.628,132.352282,563.562433,NA,324.137985,44783.8756,5843.97397,26532.2023,6914.59567,10489.3835,17246.5278,459.834453,NA,NA
2022,13.307771,3356.07017,3906.14266,17995.0013,183639.776,NA,438.917196,8.64274138,219.259064,29007.2592,4934.37538,19814.5004,2387.3113,74285.8728,11175.8917,304.287466,NA,NA
2023,NA,158.386328,913.142432,16346.3064,20641.1111,103.010863,129.925464,NA,90.1059536,57167.7514,3244.3816,12118.0784,4017.20495,6221.17042,8254.7092,156.712913,NA,NA