,YEAR,season,AtlanticHerring,AtlanticMackerel,BlackSeaBass,Scup,SpinyDogfish,StripedBass,Goosefish,Haddock,WinterFlounder,Squids,Flounders,SkateRays,Hakes,Benthopelagics,MiscellaneousDemersals,ShallowDemersal
1,2000,fall,NA,811.3545953,230.0587813,3905.010804,14112.63684,NA,800.1222643,0.385354369,2391.25439,19611.51568,5719.665433,6032.561878,4938.627429,11633.98772,6862.816901,43.43785277
2,2000,spring,2222.27916,9468.968773,45.2208475,801.5046975,32515.17337,768.5443874,583.0654006,NA,1164.81016,4934.401405,6091.16631,29369.46136,1329.820196,1641.122309,5722.650474,1305.408119
3,2001,fall,NA,17.99568186,266.8322923,2345.338434,32666.35251,6.978890229,1258.170618,NA,1212.729536,15104.28254,4568.895937,9594.165051,6675.407844,2810.207801,14934.61745,66.66195249
4,2001,spring,7466.504252,17672.24727,469.5099573,1688.88322,40182.02605,12.82677899,484.6469431,NA,806.1833336,3212.783483,8193.487875,18058.05418,5976.820804,4130.436148,11265.4585,4087.532134
5,2002,fall,NA,6.788458286,409.6564791,2483.449577,41268.30147,443.2818883,1685.015682,NA,5623.007145,27674.94272,7693.200622,8003.668256,3793.994878,5694.76353,21854.31461,76.98448769
6,2002,spring,7007.632674,22591.02006,1835.749837,34500.66963,176905.341,2007.91408,554.4257418,NA,1170.003902,5423.039712,5800.527755,22363.8924,2775.777702,4698.624713,2950.590699,1543.398905
7,2003,fall,12.00434944,8.982455855,159.7973955,693.2000905,60747.18244,787.8330949,1683.081366,3959.226773,1439.05184,12522.53019,5701.132816,39990.04588,6552.896407,3097.860623,14873.23796,24.08129983
8,2003,spring,6972.055865,20908.61826,3379.567414,509.7849785,61098.55274,17.13382609,2472.908418,NA,374.2514216,425.8307123,7981.57998,19605.06619,1779.299319,248.0158678,5141.197471,1169.459458
9,2004,fall,239.5209844,1.039338936,202.4640219,3534.281595,103526.122,68.36760283,1547.280086,0.71427193,1265.454307,10342.83448,6445.197772,6870.500616,5130.454513,8612.229694,8630.338563,19.80348489
10,2004,spring,5555.970327,17670.38606,1241.264074,5732.383742,20226.80005,3.755754261,283.315047,35.78564107,729.4652034,1571.222371,6992.947964,28060.11843,1885.009263,369.8098223,5077.765308,2675.200625
11,2005,fall,NA,20.10548816,112.7515542,287.8969035,26634.53155,194.0534708,1116.882479,10749.21269,1945.065937,13066.97945,6092.612226,17184.90828,3770.679263,12148.33324,3540.909014,0.009695103
12,2005,spring,6405.773023,9265.727002,1573.169855,954.7535836,14375.5028,37.575993,573.3139905,0.002028786,300.72521,3034.24231,4562.485477,10740.70519,2536.063568,3260.332962,5562.038777,1987.544704
13,2006,fall,NA,4.978202743,167.4156934,2524.791132,86450.57286,230.1674744,1167.141995,NA,895.5411481,33751.43885,6521.679494,11550.28279,5551.592285,9559.937548,13279.23026,30.5820834
14,2006,spring,15113.25181,33912.27465,291.0773922,5634.265211,259170.5154,119.8737932,807.8538428,5.209789716,807.4835565,5953.115284,5701.484089,17015.92748,1734.084908,4850.225927,2302.037693,2053.048163
15,2007,fall,8.421883212,0.809408415,99.75722442,1137.778344,25948.7957,144.4867101,945.6464825,NA,616.9181533,14608.15924,3676.641569,6699.186913,2478.045192,4016.59837,2653.942092,9.992697706
16,2007,spring,4523.109728,7115.254979,459.3921536,819.3176469,82627.46038,66.24059346,949.6780643,NA,451.8791681,4026.973202,6484.744706,13054.99251,2417.072766,2249.740438,921.1342296,2204.273715
17,2008,fall,NA,3.711023863,136.7918296,758.3817486,15222.6691,50.68386422,769.6429855,0.60618404,756.3677117,14025.43123,6576.023807,4851.226036,5121.905077,15962.46555,5178.845399,10.33681428
18,2008,spring,9604.898794,45487.35143,240.5494242,3825.190434,226793.5122,223.5184673,1066.981187,13.65189658,757.6310033,878.0400339,5501.672934,32724.96707,3750.200151,9187.395442,2818.835024,2543.285827
19,2009,fall,407.5835791,10.5806488,650.1577021,2678.94498,53723.86681,NA,462.7163786,4.499477497,722.9949889,20917.15876,6433.431546,7358.571184,5590.32198,14134.23954,5631.238644,4.731148097
20,2009,spring,8653.872442,47167.35086,239.8366118,1910.366858,278357.76,NA,601.0073452,NA,621.7701943,1539.795083,5481.471026,32160.16598,4000.40207,3761.63771,7835.910921,3587.15116
21,2010,fall,161.3051853,42.97120971,282.2163991,7426.669089,45809.30169,3869.759785,847.6172376,678.2191221,1047.942412,15584.55856,9240.001503,15774.55138,10471.39442,22178.40222,2283.47301,147.312716
22,2010,spring,3909.372069,3313.583138,569.0405849,10244.89636,145790.7843,134.2037788,447.9148504,NA,382.3809671,739.790941,6684.026291,58962.03208,3982.112969,767.2200755,3388.928369,1595.654763
23,2011,fall,32.02000893,4.116848422,253.4515909,1356.778295,26748.26658,8.070605001,415.3920968,55.47687783,504.9023759,9164.400961,6192.340534,6869.533574,6729.355766,16924.63965,1252.674184,82.15395652
24,2011,spring,6438.288857,16204.75742,199.30389,1484.627032,187814.9858,15.38454071,894.3927273,233.0815957,574.7980837,546.3040426,7304.40282,32725.8726,4418.775426,1398.976345,2127.841069,2845.169436
25,2012,fall,1.384574708,3.782519498,348.3586515,5330.937554,84745.90779,NA,791.405371,4.480062528,3103.418771,26374.90238,9217.491816,18994.1941,9145.347628,3625.509234,3156.11163,522.8281964
26,2012,spring,2244.812569,5354.893098,616.3857706,4869.569121,378811.2288,1822.146609,795.908765,8.651488902,853.9948763,6515.104082,10120.41492,24293.64776,7882.691601,5947.027331,5391.886858,580.8433717
27,2013,fall,14.12218629,3.713775791,369.1606599,628.2899671,20112.53436,317.2427994,460.7500645,25355.4442,175.4608188,31053.78571,4534.387208,3573.675761,3384.673079,9404.900499,771.4816805,9.069398881
28,2013,spring,4673.148484,2799.131655,1693.913447,3279.479562,196816.505,141.1537559,551.619789,NA,311.9395461,529.4836682,5621.73752,27146.09489,1963.704399,1340.110149,3580.076478,1249.252976
29,2014,fall,NA,NA,448.6805651,3650.241398,10159.96781,NA,458.943727,108.6918842,421.8410196,29059.39707,6555.134195,18356.56961,7544.614591,9858.330592,12350.33749,22.45266837
30,2014,spring,5907.393044,1971.14431,2093.375068,37629.34521,185632.6179,76.37440793,529.9861183,7272.11265,389.6597436,1735.079117,4521.843211,26650.70534,2361.312879,4801.991062,5821.498391,3432.489901
31,2015,fall,0.702649162,11.16497108,771.4798618,4935.540583,121927.105,NA,899.3444127,5.083372288,475.6192707,17177.46441,4211.619436,12005.01501,3044.948533,14800.16892,3827.205061,3.216985238
32,2015,spring,1056.453408,479.4443852,799.912545,4291.670734,187489.7529,12.17557642,378.1476415,NA,119.5269148,961.09461,4849.262526,20502.99561,1871.081136,2129.580938,3936.150993,1541.985968
33,2016,fall,NA,NA,284.9704997,11596.36283,18528.12311,NA,669.3129322,3107.879873,355.4702805,21091.18844,3841.698365,10176.96835,5565.2843,13614.65988,1966.642956,258.4068338
34,2016,spring,4605.671558,7337.090881,2504.863738,40402.52681,186212.953,622.8667926,506.6488346,NA,887.0826729,4334.031769,3429.597433,12292.12907,1567.972751,6397.361046,3804.010801,3209.042291
35,2017,spring,1660.409844,6462.812859,1682.024217,7924.399015,145299.9603,643.5418083,401.5414888,7.279692215,176.7267696,2060.414554,2702.684422,22678.52336,1437.458268,2106.400873,8923.594629,1305.607165
36,2018,fall,3.659599318,58.07168065,1175.368621,9439.138746,20368.89309,NA,547.3939146,366.8056636,985.6610411,12713.34827,3358.600508,14284.83073,8730.274583,8850.237313,7074.69472,48.56347953
37,2018,spring,1482.795828,10445.19108,507.6647553,2975.017162,222507.1355,1298.497752,521.7055034,NA,214.9437573,1211.38531,3094.740561,20718.79893,2163.372641,6449.508027,3802.793249,1742.420468
38,2019,fall,NA,94.01843782,770.9967105,2659.160371,8592.268112,32.23489297,838.2476715,102.2273847,196.2029624,16765.55681,3350.383195,28229.21835,12201.65793,4039.323108,13034.31088,3768.056697
39,2019,spring,204.1141787,12191.29387,1408.646329,6815.302198,278665.6303,NA,705.1553425,143.7204095,107.6125762,1911.113398,3842.282465,20068.41063,4489.638455,929.605901,14439.37118,2091.973907
40,2020,spring,14.88377054,631.9580834,1364.169238,5499.878098,144049.7071,96.64602872,154.3283345,NA,105.759796,1558.545372,1549.740163,11395.71324,1517.346213,86.21071604,6095.523357,300.5573587
41,2021,fall,NA,74.38545723,756.455081,8927.670641,5837.954314,NA,221.5882917,NA,153.647556,42858.53311,2864.619514,7579.908902,4113.586943,8436.567956,5561.052798,110.7747767
42,2021,spring,74.99991133,37089.27031,2142.255041,3079.649438,422791.6733,132.3522819,341.974141,NA,170.4904294,1925.342521,2979.354454,18952.29343,2801.008726,2052.815549,11685.47504,349.0596763
43,2022,fall,NA,13.97435476,2231.757177,14697.70457,39635.07374,NA,131.3834752,NA,120.0609831,25743.30657,2934.047857,8718.094832,1326.668827,42052.94234,6705.903456,61.47903314
44,2022,spring,13.30777097,3342.095814,1674.38548,3297.296776,144004.7019,NA,307.5337206,8.642741381,99.19808092,3263.952594,2000.327528,11096.40559,1060.642476,32232.93043,4469.988195,242.8084327
45,2023,fall,NA,158.3863283,913.1424316,16346.30636,20641.11114,103.0108634,129.9254638,NA,90.10595357,57167.75139,3244.381596,12118.07841,4017.204952,6221.170419,8254.709204,156.7129132